Name,Year,URL
Another Earth,2011,https://letterboxd.com/film/another-earth/
Submarine,2010,https://letterboxd.com/film/submarine/
Up,2009,https://letterboxd.com/film/up/
Neon Genesis Evangelion: The End of Evangelion,1997,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/
Your Name.,2016,https://letterboxd.com/film/your-name/
Burning,2018,https://letterboxd.com/film/burning-2018/
Christmas in August,1998,https://letterboxd.com/film/christmas-in-august/
Let the Right One In,2008,https://letterboxd.com/film/let-the-right-one-in/
Poetry,2010,https://letterboxd.com/film/poetry/
Brokeback Mountain,2005,https://letterboxd.com/film/brokeback-mountain/
Lean on Pete,2017,https://letterboxd.com/film/lean-on-pete/
The Haunting,2018,https://letterboxd.com/film/the-haunting-2018/
Shame,2011,https://letterboxd.com/film/shame-2011/
The Shape of Water,2017,https://letterboxd.com/film/the-shape-of-water/
Arrival,2016,https://letterboxd.com/film/arrival-2016/
Landscape in the Mist,1988,https://letterboxd.com/film/landscape-in-the-mist/
Personal Shopper,2016,https://letterboxd.com/film/personal-shopper/
A Serious Man,2009,https://letterboxd.com/film/a-serious-man/
mid90s,2018,https://letterboxd.com/film/mid90s/
About Schmidt,2002,https://letterboxd.com/film/about-schmidt/
Stoker,2013,https://letterboxd.com/film/stoker/
3-Iron,2004,https://letterboxd.com/film/3-iron/
Forget Me Not,2015,https://letterboxd.com/film/forget-me-not-2015/
The Heart Is a Lonely Hunter,1968,https://letterboxd.com/film/the-heart-is-a-lonely-hunter/
Eternal Sunshine of the Spotless Mind,2004,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
On the Beach at Night Alone,2017,https://letterboxd.com/film/on-the-beach-at-night-alone/
The Return,2003,https://letterboxd.com/film/the-return/
Into the Wild,2007,https://letterboxd.com/film/into-the-wild/
Swiss Army Man,2016,https://letterboxd.com/film/swiss-army-man/
Cinema Paradiso,1988,https://letterboxd.com/film/cinema-paradiso/
Perfect Blue,1997,https://letterboxd.com/film/perfect-blue/
Blue Jay,2016,https://letterboxd.com/film/blue-jay-2016/
The Tokyo Night Sky Is Always the Densest Shade of Blue,2017,https://letterboxd.com/film/the-tokyo-night-sky-is-always-the-densest-shade-of-blue/
World of Tomorrow,2015,https://letterboxd.com/film/world-of-tomorrow/
Timeless Bottomless Bad Movie,1997,https://letterboxd.com/film/timeless-bottomless-bad-movie/
Twin Peaks: Fire Walk with Me,1992,https://letterboxd.com/film/twin-peaks-fire-walk-with-me/
Mandy,2018,https://letterboxd.com/film/mandy-2018/
Coco,2017,https://letterboxd.com/film/coco-2017/
Toy Story 4,2019,https://letterboxd.com/film/toy-story-4/
5 Centimeters per Second,2007,https://letterboxd.com/film/5-centimeters-per-second/
Inherent Vice,2014,https://letterboxd.com/film/inherent-vice/
Western,2017,https://letterboxd.com/film/western-2017/
Nightcrawler,2014,https://letterboxd.com/film/nightcrawler/
Ali: Fear Eats the Soul,1974,https://letterboxd.com/film/ali-fear-eats-the-soul/
You Were Never Really Here,2017,https://letterboxd.com/film/you-were-never-really-here/
The Miseducation of Cameron Post,2018,https://letterboxd.com/film/the-miseducation-of-cameron-post/
The Garden of Words,2013,https://letterboxd.com/film/the-garden-of-words/
Boyhood,2014,https://letterboxd.com/film/boyhood/
"I'm a Cyborg, But That's OK",2006,https://letterboxd.com/film/im-a-cyborg-but-thats-ok/
High Life,2018,https://letterboxd.com/film/high-life-2018/
The Kindergarten Teacher,2018,https://letterboxd.com/film/the-kindergarten-teacher-2018/
Half Nelson,2006,https://letterboxd.com/film/half-nelson/
Midsommar,2019,https://letterboxd.com/film/midsommar/
It's Only the End of the World,2016,https://letterboxd.com/film/its-only-the-end-of-the-world/
Wolf Children,2012,https://letterboxd.com/film/wolf-children/
My Neighbor Totoro,1988,https://letterboxd.com/film/my-neighbor-totoro/
Call Me by Your Name,2017,https://letterboxd.com/film/call-me-by-your-name/
Under the Silver Lake,2018,https://letterboxd.com/film/under-the-silver-lake/
Lady Macbeth,2016,https://letterboxd.com/film/lady-macbeth/
Interstellar,2014,https://letterboxd.com/film/interstellar/
Isle of Dogs,2018,https://letterboxd.com/film/isle-of-dogs-2018/
Gloria,2013,https://letterboxd.com/film/gloria-2013/
Happy Together,1997,https://letterboxd.com/film/happy-together-1997/
Oasis,2002,https://letterboxd.com/film/oasis/
My Blueberry Nights,2007,https://letterboxd.com/film/my-blueberry-nights/
Ashes of Time,1994,https://letterboxd.com/film/ashes-of-time/
First Man,2018,https://letterboxd.com/film/first-man/
Blade Runner 2049,2017,https://letterboxd.com/film/blade-runner-2049/
Blade Runner,1982,https://letterboxd.com/film/blade-runner/
Spirited Away,2001,https://letterboxd.com/film/spirited-away/
Nancy,2018,https://letterboxd.com/film/nancy/
Noriko's Dinner Table,2005,https://letterboxd.com/film/norikos-dinner-table/
Far from Heaven,2002,https://letterboxd.com/film/far-from-heaven/
The Illusionist,2010,https://letterboxd.com/film/the-illusionist-2010/
Sunset Boulevard,1950,https://letterboxd.com/film/sunset-boulevard/
Vertigo,1958,https://letterboxd.com/film/vertigo/
Morvern Callar,2002,https://letterboxd.com/film/morvern-callar/
Closet Monster,2015,https://letterboxd.com/film/closet-monster/
Me and You and Everyone We Know,2005,https://letterboxd.com/film/me-and-you-and-everyone-we-know/
Thoroughbreds,2017,https://letterboxd.com/film/thoroughbreds-2017/
Palo Alto,2013,https://letterboxd.com/film/palo-alto/
The Cakemaker,2017,https://letterboxd.com/film/the-cakemaker/
May,2002,https://letterboxd.com/film/may/
127 Hours,2010,https://letterboxd.com/film/127-hours/
L.A. Story,1991,https://letterboxd.com/film/la-story/
A Single Man,2009,https://letterboxd.com/film/a-single-man/
Eighth Grade,2018,https://letterboxd.com/film/eighth-grade/
Mommy,2014,https://letterboxd.com/film/mommy-2014/
The Last Emperor,1987,https://letterboxd.com/film/the-last-emperor/
The Motorcycle Diaries,2004,https://letterboxd.com/film/the-motorcycle-diaries/
The Sheltering Sky,1990,https://letterboxd.com/film/the-sheltering-sky/
The Shining,1980,https://letterboxd.com/film/the-shining/
Taste of Cherry,1997,https://letterboxd.com/film/taste-of-cherry/
Happiness,1998,https://letterboxd.com/film/happiness/
Observe and Report,2009,https://letterboxd.com/film/observe-and-report/
The Edge of Seventeen,2016,https://letterboxd.com/film/the-edge-of-seventeen/
The Burden,2017,https://letterboxd.com/film/the-burden-2017/
I Don't Feel at Home in This World Anymore,2017,https://letterboxd.com/film/i-dont-feel-at-home-in-this-world-anymore/
The Favourite,2018,https://letterboxd.com/film/the-favourite/
Enemy,2013,https://letterboxd.com/film/enemy/
On Body and Soul,2017,https://letterboxd.com/film/on-body-and-soul/
Jane Eyre,2011,https://letterboxd.com/film/jane-eyre-2011/
Crumb,1994,https://letterboxd.com/film/crumb/
Where the Wild Things Are,2009,https://letterboxd.com/film/where-the-wild-things-are/
Pickpocket,1959,https://letterboxd.com/film/pickpocket/
Brigsby Bear,2017,https://letterboxd.com/film/brigsby-bear/
Night on Earth,1991,https://letterboxd.com/film/night-on-earth/
El Sur,1983,https://letterboxd.com/film/el-sur/
You and the Night,2013,https://letterboxd.com/film/you-and-the-night/
Horse Girl,2020,https://letterboxd.com/film/horse-girl-2020/
Comet,2014,https://letterboxd.com/film/comet/
Shirkers,2018,https://letterboxd.com/film/shirkers/
Weekend,2011,https://letterboxd.com/film/weekend-2011/
Miss Stevens,2016,https://letterboxd.com/film/miss-stevens/
Tony Takitani,2004,https://letterboxd.com/film/tony-takitani/
100 Yen Love,2014,https://letterboxd.com/film/100-yen-love/
The Tree of Life,2011,https://letterboxd.com/film/the-tree-of-life-2011/
Knight of Cups,2015,https://letterboxd.com/film/knight-of-cups/
Badlands,1973,https://letterboxd.com/film/badlands/
If Beale Street Could Talk,2018,https://letterboxd.com/film/if-beale-street-could-talk/
Lady Bird,2017,https://letterboxd.com/film/lady-bird/
Julien Donkey-Boy,1999,https://letterboxd.com/film/julien-donkey-boy/
Precious,2009,https://letterboxd.com/film/precious/
Adaptation.,2002,https://letterboxd.com/film/adaptation/
The Lobster,2015,https://letterboxd.com/film/the-lobster/
Dogville,2003,https://letterboxd.com/film/dogville/
Steve Jobs,2015,https://letterboxd.com/film/steve-jobs/
The Lovers on the Bridge,1991,https://letterboxd.com/film/the-lovers-on-the-bridge/
Repulsion,1965,https://letterboxd.com/film/repulsion/
Stranger Than Fiction,2006,https://letterboxd.com/film/stranger-than-fiction-2006/
The Station Agent,2003,https://letterboxd.com/film/the-station-agent/
The Tale of the Princess Kaguya,2013,https://letterboxd.com/film/the-tale-of-the-princess-kaguya/
Tokyo Sonata,2008,https://letterboxd.com/film/tokyo-sonata/
Beginners,2010,https://letterboxd.com/film/beginners/
Upstream Color,2013,https://letterboxd.com/film/upstream-color/
Secret Sunshine,2007,https://letterboxd.com/film/secret-sunshine/
One Fine Spring Day,2001,https://letterboxd.com/film/one-fine-spring-day/
"Two Days, One Night",2014,https://letterboxd.com/film/two-days-one-night/
Old Joy,2006,https://letterboxd.com/film/old-joy/
Frank,2014,https://letterboxd.com/film/frank-2014/
Rosemary's Baby,1968,https://letterboxd.com/film/rosemarys-baby/
Parasite,2019,https://letterboxd.com/film/parasite-2019/
Happy as Lazzaro,2018,https://letterboxd.com/film/happy-as-lazzaro/
The Mourning Forest,2007,https://letterboxd.com/film/the-mourning-forest/
Ash Is Purest White,2018,https://letterboxd.com/film/ash-is-purest-white/
Out of Africa,1985,https://letterboxd.com/film/out-of-africa/
Safe,1995,https://letterboxd.com/film/safe/
Somewhere,2010,https://letterboxd.com/film/somewhere/
Ghost in the Shell,1995,https://letterboxd.com/film/ghost-in-the-shell/
When Marnie Was There,2014,https://letterboxd.com/film/when-marnie-was-there/
Colorful,2010,https://letterboxd.com/film/colorful/
In This Corner of the World,2016,https://letterboxd.com/film/in-this-corner-of-the-world/
The Science of Sleep,2006,https://letterboxd.com/film/the-science-of-sleep/
The Blue Sky Maiden,1957,https://letterboxd.com/film/the-blue-sky-maiden/
The Truman Show,1998,https://letterboxd.com/film/the-truman-show/
"Oslo, August 31st",2011,https://letterboxd.com/film/oslo-august-31st/
American Honey,2016,https://letterboxd.com/film/american-honey/
The Perks of Being a Wallflower,2012,https://letterboxd.com/film/the-perks-of-being-a-wallflower/
Songs from the Second Floor,2000,https://letterboxd.com/film/songs-from-the-second-floor/
Manchester by the Sea,2016,https://letterboxd.com/film/manchester-by-the-sea/
Mister Lonely,2007,https://letterboxd.com/film/mister-lonely/
(500) Days of Summer,2009,https://letterboxd.com/film/500-days-of-summer/
Virgin Mountain,2015,https://letterboxd.com/film/virgin-mountain/
Being There,1979,https://letterboxd.com/film/being-there/
Us and Them,2018,https://letterboxd.com/film/us-and-them-2018/
Stalker,1979,https://letterboxd.com/film/stalker/
Stray Dogs,2013,https://letterboxd.com/film/stray-dogs-2013/
Koyaanisqatsi,1982,https://letterboxd.com/film/koyaanisqatsi/
Kaili Blues,2015,https://letterboxd.com/film/kaili-blues/
Aloys,2016,https://letterboxd.com/film/aloys/
Shanghai Express,1932,https://letterboxd.com/film/shanghai-express/
Limelight,1952,https://letterboxd.com/film/limelight/
Letter from an Unknown Woman,1948,https://letterboxd.com/film/letter-from-an-unknown-woman/
In a Lonely Place,1950,https://letterboxd.com/film/in-a-lonely-place/
The Green Ray,1986,https://letterboxd.com/film/the-green-ray/
Muriel's Wedding,1994,https://letterboxd.com/film/muriels-wedding/
The Graduate,1967,https://letterboxd.com/film/the-graduate/
The 400 Blows,1959,https://letterboxd.com/film/the-400-blows/
Down by Law,1986,https://letterboxd.com/film/down-by-law/
The Last Picture Show,1971,https://letterboxd.com/film/the-last-picture-show/
Three Colors: White,1994,https://letterboxd.com/film/three-colors-white/
3 Women,1977,https://letterboxd.com/film/3-women/
Love Letter,1995,https://letterboxd.com/film/love-letter/
Nocturnal Animals,2016,https://letterboxd.com/film/nocturnal-animals/
The Old Man & the Gun,2018,https://letterboxd.com/film/the-old-man-the-gun/
Woman in the Dunes,1964,https://letterboxd.com/film/woman-in-the-dunes/
"Spring, Summer, Fall, Winter... and Spring",2003,https://letterboxd.com/film/spring-summer-fall-winter-and-spring/
Edward Scissorhands,1990,https://letterboxd.com/film/edward-scissorhands/
Broken Flowers,2005,https://letterboxd.com/film/broken-flowers/
Broadway Danny Rose,1984,https://letterboxd.com/film/broadway-danny-rose/
The Conversation,1974,https://letterboxd.com/film/the-conversation/
My Own Private Idaho,1991,https://letterboxd.com/film/my-own-private-idaho/
George Washington,2000,https://letterboxd.com/film/george-washington/
One Hour Photo,2002,https://letterboxd.com/film/one-hour-photo/
Krisha,2015,https://letterboxd.com/film/krisha-2015/
