Name,Year,URL
Umberto D.,1952,https://letterboxd.com/film/umberto-d/
The Cave of the Yellow Dog,2005,https://letterboxd.com/film/the-cave-of-the-yellow-dog/
Simple Simon,2010,https://letterboxd.com/film/simple-simon/
Travellers and Magicians,2003,https://letterboxd.com/film/travellers-and-magicians/
Bye Bye Blue Bird,1999,https://letterboxd.com/film/bye-bye-blue-bird/
Song of the Exile,1990,https://letterboxd.com/film/song-of-the-exile/
I Want to Deliver Your Voice,2017,https://letterboxd.com/film/i-want-to-deliver-your-voice/
Tamako Love Story,2014,https://letterboxd.com/film/tamako-love-story/
K-On! The Movie,2011,https://letterboxd.com/film/k-on-the-movie/
My Sister Momoko,2003,https://letterboxd.com/film/my-sister-momoko/
Junkers Come Here,1994,https://letterboxd.com/film/junkers-come-here/
Comet in Moominland,1992,https://letterboxd.com/film/comet-in-moominland/
Kayoko's Diary,1991,https://letterboxd.com/film/kayokos-diary/
The Mermaid,1965,https://letterboxd.com/film/the-mermaid-1965/
Song of the Sea,2014,https://letterboxd.com/film/song-of-the-sea/
Klaus,2019,https://letterboxd.com/film/klaus/
Coco,2017,https://letterboxd.com/film/coco-2017/
Winnie the Pooh,2011,https://letterboxd.com/film/winnie-the-pooh/
"Monsters, Inc.",2001,https://letterboxd.com/film/monsters-inc/
Ernest & Celestine,2012,https://letterboxd.com/film/ernest-celestine/
The Shape of Water,2017,https://letterboxd.com/film/the-shape-of-water/
Moonlight,2016,https://letterboxd.com/film/moonlight-2016/
Little Miss Sunshine,2006,https://letterboxd.com/film/little-miss-sunshine/
Seven Samurai,1954,https://letterboxd.com/film/seven-samurai/
"Ghidorah, the Three-Headed Monster",1964,https://letterboxd.com/film/ghidorah-the-three-headed-monster/
The Truman Show,1998,https://letterboxd.com/film/the-truman-show/
Short Term 12,2013,https://letterboxd.com/film/short-term-12-2013/
Dave,1993,https://letterboxd.com/film/dave/
A Matter of Life and Death,1946,https://letterboxd.com/film/a-matter-of-life-and-death/
You Can't Take It with You,1938,https://letterboxd.com/film/you-cant-take-it-with-you/
The Color Purple,1985,https://letterboxd.com/film/the-color-purple/
Howards End,1992,https://letterboxd.com/film/howards-end/
Sansho the Bailiff,1954,https://letterboxd.com/film/sansho-the-bailiff/
The World of Apu,1959,https://letterboxd.com/film/the-world-of-apu/
The Postman,1994,https://letterboxd.com/film/the-postman-1994/
Kikujiro,1999,https://letterboxd.com/film/kikujiro/
Taxi,2015,https://letterboxd.com/film/taxi-2015/
Amélie,2001,https://letterboxd.com/film/amelie/
City Lights,1931,https://letterboxd.com/film/city-lights/
Madadayo,1993,https://letterboxd.com/film/madadayo/
Welcome to Dongmakgol,2005,https://letterboxd.com/film/welcome-to-dongmakgol/
A Taxi Driver,2017,https://letterboxd.com/film/a-taxi-driver/
Swing Kids,2018,https://letterboxd.com/film/swing-kids-2018/
Au Revoir les Enfants,1987,https://letterboxd.com/film/au-revoir-les-enfants/
The Rocket from Calabuch,1956,https://letterboxd.com/film/the-rocket-from-calabuch/
Children of Heaven,1997,https://letterboxd.com/film/children-of-heaven/
Meet Me in St. Louis,1944,https://letterboxd.com/film/meet-me-in-st-louis/
Local Hero,1983,https://letterboxd.com/film/local-hero/
Life Is Beautiful,1997,https://letterboxd.com/film/life-is-beautiful/
"Night Is Short, Walk on Girl",2017,https://letterboxd.com/film/night-is-short-walk-on-girl/
Modern Times,1936,https://letterboxd.com/film/modern-times/
The Big City,1963,https://letterboxd.com/film/the-big-city/
"I Was Born, But...",1932,https://letterboxd.com/film/i-was-born-but/
Good Morning,1959,https://letterboxd.com/film/good-morning/
The Only Son,1936,https://letterboxd.com/film/the-only-son/
There Was a Father,1942,https://letterboxd.com/film/there-was-a-father/
The End of Summer,1961,https://letterboxd.com/film/the-end-of-summer/
Cléo from 5 to 7,1962,https://letterboxd.com/film/cleo-from-5-to-7/
Paterson,2016,https://letterboxd.com/film/paterson/
The Pursuit of Happyness,2006,https://letterboxd.com/film/the-pursuit-of-happyness/
The Green Mile,1999,https://letterboxd.com/film/the-green-mile/
Night on Earth,1991,https://letterboxd.com/film/night-on-earth/
"Paris, Texas",1984,https://letterboxd.com/film/paris-texas/
Punch-Drunk Love,2002,https://letterboxd.com/film/punch-drunk-love/
Throw Down,2004,https://letterboxd.com/film/throw-down/
Who Killed Captain Alex?,2010,https://letterboxd.com/film/who-killed-captain-alex/
The Court Jester,1955,https://letterboxd.com/film/the-court-jester/
Robin Hood,1973,https://letterboxd.com/film/robin-hood/
Crooklyn,1994,https://letterboxd.com/film/crooklyn/
Cats Don't Dance,1997,https://letterboxd.com/film/cats-dont-dance/
The Life Aquatic with Steve Zissou,2004,https://letterboxd.com/film/the-life-aquatic-with-steve-zissou/
Still Human,2018,https://letterboxd.com/film/still-human/
The Man Without a Past,2002,https://letterboxd.com/film/the-man-without-a-past/
The Kid with a Bike,2011,https://letterboxd.com/film/the-kid-with-a-bike/
Dersu Uzala,1975,https://letterboxd.com/film/dersu-uzala/
Dust in the Wind,1986,https://letterboxd.com/film/dust-in-the-wind/
The Iron Giant,1999,https://letterboxd.com/film/the-iron-giant/
Tokyo Godfathers,2003,https://letterboxd.com/film/tokyo-godfathers/
The Triplets of Belleville,2003,https://letterboxd.com/film/the-triplets-of-belleville/
The Illusionist,2010,https://letterboxd.com/film/the-illusionist-2010/
The Straight Story,1999,https://letterboxd.com/film/the-straight-story/
Being There,1979,https://letterboxd.com/film/being-there/
Jerry Maguire,1996,https://letterboxd.com/film/jerry-maguire/
Stand by Me,1986,https://letterboxd.com/film/stand-by-me/
Blinded by the Light,2019,https://letterboxd.com/film/blinded-by-the-light-2019/
The Great Ecstasy of Woodcarver Steiner,1974,https://letterboxd.com/film/the-great-ecstasy-of-woodcarver-steiner/
Giovanni's Island,2014,https://letterboxd.com/film/giovannis-island/
It's a Wonderful Life,1946,https://letterboxd.com/film/its-a-wonderful-life/
The Shawshank Redemption,1994,https://letterboxd.com/film/the-shawshank-redemption/
The Double Life of Véronique,1991,https://letterboxd.com/film/the-double-life-of-veronique/
Mr. Smith Goes to Washington,1939,https://letterboxd.com/film/mr-smith-goes-to-washington/
Nebraska,2013,https://letterboxd.com/film/nebraska/
The Great Dictator,1940,https://letterboxd.com/film/the-great-dictator/
Land Without Bread,1933,https://letterboxd.com/film/land-without-bread/
Hiroshima Mon Amour,1959,https://letterboxd.com/film/hiroshima-mon-amour/
Dead Souls,2018,https://letterboxd.com/film/dead-souls-2018/
Dead Poets Society,1989,https://letterboxd.com/film/dead-poets-society/
Big,1988,https://letterboxd.com/film/big/
The Breadwinner,2017,https://letterboxd.com/film/the-breadwinner/
Pan's Labyrinth,2006,https://letterboxd.com/film/pans-labyrinth/
Brigsby Bear,2017,https://letterboxd.com/film/brigsby-bear/
The Muppet Movie,1979,https://letterboxd.com/film/the-muppet-movie/
Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/film/spider-man-into-the-spider-verse/
Tangled,2010,https://letterboxd.com/film/tangled-2010/
Lady Bird,2017,https://letterboxd.com/film/lady-bird/
Paris Is Burning,1990,https://letterboxd.com/film/paris-is-burning/
Eternity and a Day,1998,https://letterboxd.com/film/eternity-and-a-day/
It's Such a Beautiful Day,2012,https://letterboxd.com/film/its-such-a-beautiful-day/
The Human Condition I: No Greater Love,1959,https://letterboxd.com/film/the-human-condition-i-no-greater-love/
The Human Condition II: Road to Eternity,1959,https://letterboxd.com/film/the-human-condition-ii-road-to-eternity/
